"Issuer Company","Issue Type","Listing Date","Issue Size","Subscribed","Issue Price","Listing Day Price","Current Price","52 Week High","52 Week Low","Recommendation by Dilip Davda"
"Euphoria Infotech India Limited","SME","Jan 30, 2024","Rs 9.60 Cr","383.86x","Rs 100.00","Rs 181.51 (81.51%)","Rs 70.00 (-30%)","Rs 199.50 (Jan 30, 2024)","Rs 55.00 (Mar 14, 2024)","Avoid"
"Konstelec Engineers Limited","SME","Jan 30, 2024","Rs 28.70 Cr","341.8x","Rs 70.00","Rs 220.50 (215%)","Rs 189.90 (171.29%)","","","Apply"
"Qualitek Labs Limited","SME","Jan 29, 2024","Rs 19.64 Cr","58.95x","Rs 100.00","Rs 199.50 (99.5%)","Rs 249.50 (149.5%)","Rs 237.65 (Jul 25, 2024)","Rs 140.00 (Mar 14, 2024)","Avoid"
"Maxposure Limited","SME","Jan 23, 2024","Rs 20.26 Cr","987.47x","Rs 33.00","Rs 137.75 (317.42%)","Rs 91.40 (176.97%)","","","May apply"
"Shree Marutinandan Tubes Limited","SME","Jan 19, 2024","Rs 14.30 Cr","47.16x","Rs 143.00","Rs 210.00 (46.85%)","Rs 192.05 (34.3%)","Rs 454.95 (Feb 08, 2024)","Rs 188.60 (Jun 07, 2024)","May apply"
"New Swan Multitech Limited","SME","Jan 18, 2024","Rs 33.11 Cr","384.26x","Rs 66.00","Rs 131.67 (99.5%)","Rs 88.50 (34.09%)","Rs 145.16 (Jan 20, 2024)","Rs 52.85 (Jun 05, 2024)","Apply"
"Australian Premium Solar (India) Limited","SME","Jan 18, 2024","Rs 28.08 Cr","464.19x","Rs 54.00","Rs 147.00 (172.22%)","Rs 508.70 (842.04%)","","","May apply"
"IBL Finance Limited","SME","Jan 16, 2024","Rs 33.41 Cr","17x","Rs 51.00","Rs 58.80 (15.29%)","Rs 53.40 (4.71%)","","","Avoid"
"Kaushalya Logistics Limited","SME","Jan 08, 2024","Rs 36.60 Cr","390.88x","Rs 75.00","Rs 105.00 (40%)","Rs 104.00 (38.67%)","","","Apply"
"Kay Cee Energy & Infra Limited","SME","Jan 05, 2024","Rs 15.93 Cr","1052.45x","Rs 54.00","Rs 239.40 (343.33%)","Rs 382.75 (608.8%)","","","Apply"
"Akanksha Power and Infrastructure Limited","SME","Jan 03, 2024","Rs 27.49 Cr","117.39x","Rs 55.00","Rs 65.10 (18.36%)","Rs 130.35 (137%)","","","Apply"
"Manoj Ceramic Limited","SME","Jan 03, 2024","Rs 14.47 Cr","9x","Rs 62.00","Rs 77.90 (25.65%)","Rs 112.15 (80.89%)","Rs 166.00 (May 07, 2024)","Rs 73.10 (Jan 05, 2024)","May apply"
"Shri Balaji Valve Components Limited","SME","Jan 03, 2024","Rs 21.60 Cr","276.44x","Rs 100.00","Rs 199.50 (99.5%)","Rs 250.00 (150%)","Rs 323.00 (Jan 17, 2024)","Rs 131.00 (Mar 13, 2024)","May apply"
"HRH Next Services Limited","SME","Jan 03, 2024","Rs 9.57 Cr","66.29x","Rs 36.00","Rs 43.05 (19.58%)","Rs 47.45 (31.81%)","","","May apply"
"AIK Pipes And Polymers Limited","SME","Jan 02, 2024","Rs 15.02 Cr","43.57x","Rs 89.00","Rs 105.00 (17.98%)","Rs 144.25 (62.08%)","Rs 152.20 (Jan 16, 2024)","Rs 96.50 (Mar 12, 2024)","May apply"
